crop_name,temperature,rainfall,soil_ph,market_demand
Millet,12,124,6.4,7
Barley,12,82,5.3,7
Soybean,39,237,7.2,9
Sorghum,17,102,5.6,3
Peanut,33,294,5.1,9
Maize,27,80,5.3,2
Sorghum,11,93,6.4,3
Soybean,26,167,7.4,6
Millet,33,67,7.1,7
Rice,18,268,7.3,7
Sorghum,10,274,6.0,6
Rice,38,203,6.9,8
Millet,22,130,5.5,6
Sorghum,26,201,6.8,4
Rice,22,262,5.1,2
Peanut,23,146,6.5,5
Soybean,24,275,7.1,8
Soybean,29,196,5.6,6
Sugarcane,25,176,6.6,3
Barley,28,103,5.7,6
Sorghum,33,120,7.3,4
Soybean,17,63,5.2,2
Maize,35,260,6.0,4
Wheat,38,264,6.8,5
Sorghum,26,57,5.3,7
Sugarcane,19,247,6.3,2
Sugarcane,13,246,6.0,9
Sugarcane,13,287,5.7,8
Soybean,30,188,7.0,3
Peanut,31,241,5.1,8
Peanut,20,214,6.5,7
Sugarcane,28,251,6.1,9
Maize,18,133,5.7,2
Barley,29,84,5.6,1
Maize,11,207,6.8,5
Sorghum,28,143,5.1,4
Maize,22,197,7.3,6
Rice,27,167,7.2,8
Rice,38,76,7.4,9
Maize,30,65,6.4,4
Wheat,38,286,5.7,8
Maize,20,64,7.2,3
Rice,22,130,6.9,5
Rice,35,66,5.9,1
Cotton,20,95,6.2,4
Peanut,10,291,6.7,2
Sorghum,29,187,5.3,6
Millet,17,146,5.3,1
Millet,20,80,6.1,2
Wheat,16,180,6.1,2
Millet,28,174,6.7,4
Soybean,37,100,5.2,9
Barley,11,65,5.3,8
Sorghum,18,247,6.3,2
Wheat,31,89,7.0,9
Sugarcane,28,199,7.3,6
Peanut,26,271,7.3,8
Peanut,24,245,5.6,6
Soybean,27,51,7.4,7
Cotton,13,52,5.3,2
Rice,13,268,7.3,6
Soybean,36,241,5.5,1
Sugarcane,30,189,6.8,3
Barley,17,61,5.2,6
Cotton,21,264,5.7,8
Sugarcane,38,94,6.1,5
Sugarcane,33,286,6.7,6
Barley,29,139,5.3,9
Sorghum,10,92,5.5,4
Wheat,11,252,5.1,2
Peanut,37,78,5.4,9
Sugarcane,13,60,6.9,9
Sorghum,15,86,5.1,9
Maize,32,118,5.4,9
Maize,14,218,5.2,9
Soybean,31,91,6.0,5
Millet,27,104,7.0,6
Barley,11,272,5.7,7
Cotton,22,85,6.0,5
Cotton,20,147,6.4,9
Barley,27,288,6.8,5
Barley,38,151,5.9,4
Rice,27,66,5.9,9
Barley,16,267,5.5,8
Sugarcane,31,202,5.3,7
Millet,31,86,6.6,3
Barley,39,189,7.4,3
Barley,37,142,7.1,3
Peanut,32,120,5.0,3
Rice,28,211,6.1,6
Soybean,13,195,6.6,2
Barley,38,138,7.0,8
Barley,18,201,5.3,2
Peanut,16,229,6.3,1
Wheat,21,174,5.1,9
Millet,11,86,6.5,3
Maize,37,51,6.7,2
Barley,13,253,7.0,7
Maize,36,148,6.1,5
Cotton,19,294,7.1,8
Wheat,10,238,6.6,4
Maize,38,224,7.5,7
Rice,31,244,7.2,2
Barley,25,251,6.0,5
Maize,32,284,7.4,3
Wheat,15,243,7.4,1
Rice,29,234,7.1,3
Sorghum,32,59,6.5,3
Soybean,35,205,6.6,5
Millet,10,257,7.4,1
Cotton,18,212,6.5,2
Rice,27,81,7.4,9
Sugarcane,25,196,6.8,3
Rice,21,166,6.9,3
Cotton,11,52,5.5,7
Barley,25,198,7.3,9
Barley,18,243,6.1,8
Sorghum,28,134,7.1,9
Maize,35,99,6.9,1
Soybean,13,241,5.3,5
Sugarcane,11,280,6.5,8
Cotton,14,118,5.1,6
Maize,14,167,7.2,4
Soybean,29,183,7.4,4
Sugarcane,16,89,6.5,9
Barley,10,106,6.0,9
Millet,38,223,5.2,9
Barley,18,297,7.3,1
Barley,28,185,5.4,3
